"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0Z061","2019-09-16 00:00:00","174.000","0.000","0.000","24.000","0.990","991.700","-99.000","0.000","-99.000","-99.000","-99.000","33.900","","23.900",""
"C0V370","2019-09-16 00:00:00","74.000","0.000","0.000","24.400","1.000","999.500","-99.000","18.500","-99.000","-99.000","-99.000","31.400","","24.400",""
"C0I110","2019-09-16 00:00:00","161.000","77.000","0.600","25.000","0.870","989.300","-99.000","0.000","-99.000","-99.000","-99.000","31.400","","24.900",""
"C0M750","2019-09-16 00:00:00","10.000","60.000","0.500","27.100","0.800","1005.500","-99.000","0.000","-99.000","-99.000","-99.000","31.400","","27.000",""
"C0U970","2019-09-16 00:00:00","7.000","253.000","1.600","26.300","0.810","1008.700","-99.000","4.000","-99.000","-99.000","-99.000","28.600","","25.800",""
"C0X300","2019-09-16 00:00:00","70.000","259.000","0.400","24.200","0.960","998.800","-99.000","40.500","-99.000","-99.000","-99.000","31.800","","24.100",""
"C0A9E0","2019-09-16 00:00:00","26.000","154.000","1.300","26.600","0.810","1006.000","-99.000","13.000","-99.000","-99.000","-99.000","28.900","","24.700",""
"C0R590","2019-09-16 00:00:00","72.000","122.000","0.900","25.100","0.990","999.100","-99.000","7.000","-99.000","-99.000","-99.000","31.300","","25.100",""
"C0G820","2019-09-16 00:00:00","29.000","0.000","0.000","26.000","0.900","1002.800","-99.000","0.000","-99.000","-99.000","-99.000","33.500","","26.000",""
"C0U600","2019-09-16 00:00:00","10.000","286.000","0.400","25.000","0.970","1007.200","-99.000","2.500","-99.000","-99.000","-99.000","29.200","","23.700",""
"C0U910","2019-09-16 00:00:00","17.000","304.000","1.600","25.800","0.810","1006.700","-99.000","1.500","-99.000","-99.000","-99.000","28.800","","24.900",""
"C0V630","2019-09-16 00:00:00","19.000","196.000","2.400","27.300","0.830","1007.200","-99.000","1.000","-99.000","-99.000","-99.000","31.500","","26.200",""
"C0D650","2019-09-16 00:00:00","97.000","64.000","2.100","25.200","0.880","997.400","-99.000","27.000","-99.000","-99.000","-99.000","28.300","","23.700",""
"C0K510","2019-09-16 00:00:00","10.000","49.000","0.700","25.900","0.850","1005.100","-99.000","0.000","-99.000","-99.000","-99.000","31.800","","25.900",""
"C0V360","2019-09-16 00:00:00","94.000","199.000","0.600","24.100","0.970","996.800","-99.000","6.000","-99.000","-99.000","-99.000","32.300","","24.100",""
"C0M780","2019-09-16 00:00:00","30.000","185.000","1.000","25.700","0.920","1003.900","-99.000","0.000","-99.000","-99.000","-99.000","32.100","","25.600",""
